date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,stop_loss,profit_target,tags,notes,spread_id
2023-06-30T09:31:18-0400,MESU23,buy,USD,MES,future,4467.75,4.0,3.08,0.0,4464.0,4487.0,"ML (A+),OpenTrade",,Ii7eQaeO
2023-06-30T10:20:40-0400,MESU23,sell,USD,MES,future,4487.0,2.0,1.54,0.0,4464.0,4487.0,"ML (A+),OpenTrade",,Ii7eQaeO
2023-09-14T10:29:13-0400,MESZ23,buy,USD,MES,future,4534.25,2.0,1.54,0.0,4530.75,4545.0,MRL (B),,imqlheIt
2023-09-14T10:32:07-0400,MESZ23,sell,USD,MES,future,4539.25,1.0,0.77,0.0,4530.75,4545.0,MRL (B),,imqlheIt
2023-09-14T10:45:04-0400,MESZ23,sell,USD,MES,future,4545.0,1.0,0.77,0.0,4530.75,4545.0,MRL (B),,imqlheIt
2023-04-12T10:19:14-0400,ESM23,sell,USD,ES,future,4151.5,1.0,2.29,0.0,4155.5,4136.0,"MS (C),Pre-empt,SLmistake",,In414sZR
2023-04-12T10:21:04-0400,ESM23,buy,USD,ES,future,4155.5,1.0,2.29,0.0,4155.5,4136.0,"MS (C),Pre-empt,SLmistake",,In414sZR
2023-11-20T10:33:32-0500,MESZ23,buy,USD,MES,future,4540.0,2.0,1.44,0.0,4536.0,4558.0,ML (A+),,ipamN1x9
2023-11-20T13:35:01-0500,MESZ23,sell,USD,MES,future,4558.0,1.0,0.77,0.0,4536.0,4558.0,ML (A+),,ipamN1x9
2023-11-20T12:16:01-0500,MESZ23,sell,USD,MES,future,4550.0,1.0,0.77,0.0,4536.0,4558.0,ML (A+),,ipamN1x9
2023-07-31T10:54:30-0400,ESU23,sell,USD,ES,future,4611.75,1.0,2.29,0.0,N/A,N/A,MRS (B),,IUVOCo7c
2023-07-31T11:12:02-0400,ESU23,buy,USD,ES,future,4615.75,1.0,2.29,0.0,N/A,N/A,MRS (B),,IUVOCo7c
2023-05-19T11:45:10-0400,MESM23,buy,USD,MES,future,4200.25,2.0,1.54,0.0,4200.25,4184.25,MS (B),,j2jiNrfw
2023-05-19T11:43:25-0400,MESM23,sell,USD,MES,future,4195.5,2.0,1.54,0.0,4200.25,4184.25,MS (B),,j2jiNrfw
2023-05-03T10:37:44-0400,ESM23,sell,USD,ES,future,4141.25,1.0,2.29,0.0,4141.25,4149.0,MRL (B),,jCXGT5Ak
2023-05-03T10:36:57-0400,ESM23,buy,USD,ES,future,4143.75,1.0,2.29,0.0,4141.25,4149.0,MRL (B),,jCXGT5Ak
2023-04-10T11:29:35-0400,ESM23,buy,USD,ES,future,4113.5,1.0,2.29,0.0,4111.0,4121.0,"EarlyClose,ML (C)",,JKEH0aA3
2023-04-10T11:43:28-0400,ESM23,sell,USD,ES,future,4115.75,1.0,2.29,0.0,4111.0,4121.0,"EarlyClose,ML (C)",,JKEH0aA3
2023-05-04T12:45:10-0400,MESM23,sell,USD,MES,future,4072.75,1.0,0.77,0.0,4063.25,4073.0,MRL (B),,JTG9Pw06
2023-05-04T12:17:31-0400,MESM23,sell,USD,MES,future,4073.0,1.0,0.77,0.0,4063.25,4073.0,MRL (B),,JTG9Pw06
2023-05-04T12:15:13-0400,MESM23,buy,USD,MES,future,4067.5,3.0,2.31,0.0,4063.25,4073.0,MRL (B),,JTG9Pw06
2023-05-04T12:23:32-0400,MESM23,sell,USD,MES,future,4076.75,1.0,0.77,0.0,4063.25,4073.0,MRL (B),,JTG9Pw06
2023-10-02T10:15:29-0400,MESZ23,buy,USD,MES,future,4321.25,4.0,3.08,0.0,4317.25,4336.0,MRL (A),<br>,ju5Hg7k6
2023-10-02T10:18:49-0400,MESZ23,sell,USD,MES,future,4328.0,2.0,1.54,0.0,4317.25,4336.0,MRL (A),<br>,ju5Hg7k6
2023-10-02T10:22:10-0400,MESZ23,sell,USD,MES,future,4320.0,2.0,1.54,0.0,4317.25,4336.0,MRL (A),<br>,ju5Hg7k6
2023-10-26T10:25:59-0400,MESZ23,buy,USD,MES,future,4184.25,8.0,6.16,0.0,4184.25,4160.0,MS (A),<br>,JVp4ss2n
2023-10-26T10:12:49-0400,MESZ23,sell,USD,MES,future,4180.25,8.0,6.16,0.0,4184.25,4160.0,MS (A),<br>,JVp4ss2n
2023-07-19T09:30:54-0400,ESU23,buy,USD,ES,future,4599.0,1.0,2.29,0.0,4595.0,4607.0,"ML (A),OpenTrade",,jxDZE7ea
2023-07-19T10:05:33-0400,ESU23,sell,USD,ES,future,4607.0,1.0,2.29,0.0,4595.0,4607.0,"ML (A),OpenTrade",,jxDZE7ea
2023-04-26T10:38:54-0400,ESM23,sell,USD,ES,future,4088.5,1.0,2.29,0.0,4092.5,4072.25,"MS (A+),Pre-empt",,k1LX0w7x
2023-04-26T10:52:01-0400,ESM23,buy,USD,ES,future,4092.75,1.0,2.29,0.0,4092.5,4072.25,"MS (A+),Pre-empt",,k1LX0w7x
2023-07-06T04:46:43-0400,MESU23,buy,USD,MES,future,4466.5,3.0,0.0,0.0,4466.5,4456.0,MS (A),,K7498gfN
2023-07-06T03:54:16-0400,MESU23,sell,USD,MES,future,4462.75,3.0,0.0,0.0,4466.5,4456.0,MS (A),,K7498gfN
2023-04-13T11:43:54-0400,ESM23,sell,USD,ES,future,4146.5,1.0,2.29,0.0,4138.5,4149.0,ML (A),,KbynXsk9
2023-04-13T10:43:35-0400,ESM23,buy,USD,ES,future,4142.0,1.0,2.29,0.0,4138.5,4149.0,ML (A),,KbynXsk9
2023-05-11T10:45:34-0400,MESM23,buy,USD,MES,future,4126.75,2.0,1.54,0.0,4122.75,4131.75,MRL (B),,KjejmXKx
2023-05-11T10:50:34-0400,MESM23,sell,USD,MES,future,4131.75,2.0,1.54,0.0,4122.75,4131.75,MRL (B),,KjejmXKx
2023-10-13T10:02:42-0400,MESZ23,sell,USD,MES,future,4398.5,4.0,3.08,0.0,4402.5,4480.5,MRS (A),<br>,KLjvV6eY
2023-10-13T10:02:42-0400,MESZ23,sell,USD,MES,future,4398.5,4.0,3.08,0.0,4402.5,4480.5,MRS (A),<br>,KLjvV6eY
2023-10-13T10:10:01-0400,MESZ23,buy,USD,MES,future,4395.25,4.0,3.08,0.0,4402.5,4480.5,MRS (A),<br>,KLjvV6eY
2023-10-13T10:07:39-0400,MESZ23,buy,USD,MES,future,4390.5,4.0,3.08,0.0,4402.5,4480.5,MRS (A),<br>,KLjvV6eY
